,Character,Message
58,PIKE,"She does a good job, all right. It's just that I can't get used to having a woman on the bridge. No offence, Lieutenant. You're different, of course."
59,TYLER,"We've settled into orbit, sir."
60,GEOLOGIST,"Geological lab report complete, Captain."
61,SPOCK,"Preliminary lab survey ready, sir."
62,PIKE,Spectography?
63,GEOLOGIST,"Our reading shows an oxygen nitrogen atmosphere, sir, heavy with inert elements but well within safety limits."
64,PIKE,Gravity?
65,GEOLOGIST,Zero point nine of Earth.
66,TYLER,"Captain? Reflections, sir, from the planet's surface. As I read it, they polarise out as rounded metal bits. Could be parts of a spaceship hull."
67,PIKE,Prep a landing party of six. You feel up to it?
68,SPOCK,"Yes, sir."
69,TYLER,"Yes, sir."
70,PIKE,"Sorry, Number One. With little information on this planet, we'll have to leave the ship's most experienced officer here covering us."
71,ONE,"Of course, sir."
72,PITCAIRN,"Yes, sir. There's a canyon to the left. We can set you there completely unobserved."
73,GARISON,Sir.
74,OLD MAN,They're men. They're humans.
75,PIKE,"Captain Christopher Pike, United Space Ship Enterprise."
76,HASKINS,"Doctor Theodore Haskins, American Continent lnstitute."
77,SURVIVOR,Is Earth all right?
78,PIKE,"The same old Earth, and you'll see it very soon."
79,TYLER,And you won't believe how fast you can get back. Well the time barrier's been broken. Our new ships can
80,HASKINS,This is Vina. Her parents are dead. She was born almost as we crashed.
81,PIKE,Enterprise.
82,ONE,"Landing party, come in."
83,PIKE,We'll begin transporting the survivors and their effects up to you very shortly.
84,ONE,"Quarters are being prepared, sir. Have I permission to send out scouting and scientific parties now?"
85,PIKE,That's affirmative on the
86,VINA,"You appear to be healthy and intelligent, Captain. A prime specimen."
87,ONE,"I didn't get that last message, Captain."
88,PIKE,"Er, affirmative on request. Landing party out."
89,HASKINS,"You must forgive her choice of words, Captain. She's lived her whole life with a collection of aging scientists."
90,BOYCE,"If they can spare you a moment, I'd like to make my medical report."
91,VINA,I think it's time to show the Captain our secret.
92,BOYCE,Their health is excellent. Almost too good.
93,HASKINS,"There's a reason for our condition, but we've had some doubt if Earth is ready to learn the secret. Let the girl show you. We'll accept your judgment."
94,VINA,"You're tired, but don't worry. You'll feel much better soon. Don't you see it? Here and here."
95,PIKE,I don't understand.
96,VINA,You will. You're a perfect choice.
97,TYLER,Captain!
98,SPOCK,Spock here.
99,ONE,"Landing party, come in."
100,SPOCK,"There is no survivors' encampment, Number One. This is all some sort of trap. We've lost the Captain. Do you read?"
101,PIKE,"Can you hear me? My name is Christopher Pike, commander of the space vehicle Enterprise from a stellar group at the other end of this galaxy. Our intentions are peaceful. Can you understand me?"
102,TALOSIAN,"It appears, Magistrate, that the intelligence of the specimen is shockingly limited."
103,MAGISTRATE,"This is no surprise since his vessel was baited here so easily with a simulated message. As you can read in its thoughts, it is only now beginning to suspect that the survivors and encampment were a simple illusion we placed in their minds."
104,PIKE,"You're not speaking, yet I can hear you."
105,MAGISTRATE,You will note the confusion as it reads our thought transmissions.
106,PIKE,"All right then, telepathy. You can read my mind. I can read yours. Now, unless you want my ship to consider capturing me an unfriendly act"
107,MAGISTRATE,"You now see the primitive fear threat reaction. The specimen is about to boast of his strength, the weaponry of his vessel, and so on. Next, frustrated into a need to display physical prowess, the creature will throw himself against the transparency."
108,PIKE,"If you were in here, wouldn't you test the strength of these walls, too? There's a way out of any cage, and I'll find it."
109,MAGISTRATE,"Despite its frustration, the creature appears more adaptable than our specimens from other planets. We can soon begin the experiment."
110,ONE,"So we just thought we saw survivors there, Mister Spock."
111,SPOCK,Exactly. An illusion placed in our minds by this planet's inhabitants.
112,BOYCE,"It was a perfect illusion. They had us seeing just what we wanted to see, human beings who'd survived with dignity and bravery, everything entirely logical, right down to the building of the camp, the tattered clothing, everything. Now let's be sure we understand the danger of this. The inhabitants of this planet can read our minds. They can create illusions out of a person's own thoughts, memories, and experiences, even out of a person's own desires. Illusions just as real and solid as this table top and just as impossible to ignore."
113,ONE,Any estimate what they might want one of us for?
114,SPOCK,"They may simply be studying the Captain, to find out how Earth people are put together. Or it could be something more."
115,TYLER,"Then why aren't we doing anything? That entry may have stood up against hand lasers, but we can transmit the ship's power against it. Enough to blast half a continent."
116,SPOCK,"Look. Brains three times the size of ours. If we start buzzing about down there, we're liable to find their mental power is so great they could reach out and swat this ship as though it were a fly."
117,TYLER,"It's Captain Pike they've got. He needs help, and he probably needs it fast."
118,ONE,Engineering deck will rig to transmit ship's power. We'll try blasting through that metal.
119,TALOSIAN,"Thousands of us are already probing the creature's thoughts, Magistrate. We find excellent memory capacity."
120,MAGISTRATE,"I read most strongly a recent death struggle in which it fought to protect its life. We will begin with this, giving the specimen something more interesting to protect."
121,PIKE,This is Rigel Seven.
122,VINA,"Please, we must hide ourselves."
123,PIKE,"I was in a cage, a cell, in some kind of a zoo. I must still be there."
124,VINA,Come on.
125,PIKE,They've reached into my mind and taken the memory of somewhere I've been.
126,VINA,The killer!
127,PIKE,It's starting just as it happened two weeks ago. Except for you.
128,PIKE,"Longer hair, different dress, but it is you, the one the survivors called Vina. Or rather the image of Vina. But why you again? Why didn't they create a different girl?"
129,VINA,Quick. If you attack while it's not looking.
130,PIKE,But it's only a dream.
131,VINA,You have to kill him as you did here before.
132,PIKE,You can tell my jailers I won't go along with it. I'm not an animal performing for its supper.
133,VINA,"It doesn't matter what you call this, you'll feel it. That's what matters. You'll feel every moment of whatever happens to you. Please, don't you know what he'll do to us?"
134,PIKE,Why would an illusion be frightened?
135,VINA,Because that's the way you imagined me.
136,PIKE,Who are you? You act as if this were really you.
137,VINA,Careful.
138,PIKE,Why are you here?
139,VINA,To please you.
140,PIKE,Are you real?
141,VINA,As real as you wish.
142,PIKE,"No, no. No, that's not an answer. I've never met you before, never even imagined you."
143,VINA,Perhaps they made me out of dreams you've forgotten.
144,PIKE,"What, and dress you in the same metal fabric they wear?"
145,VINA,"I have to wear something, don't I? I can wear whatever you wish, be anything you wish."
146,PIKE,"So they can see how their specimen performs? They want to see how I react, is that it?"
147,VINA,"Don't you have a dream, something you've always wanted very badly?"
148,PIKE,"Or do they do more than just watch me? Do they feel with me, too?"
149,VINA,"You can have whatever dream you want. I can become anything, any woman you've ever imagined. You can have anything you want in the whole universe. Let me please you."
150,PIKE,"Yes. Yes, you can please me. You can tell me about them. Is there any way I can keep them from probing my mind, from using my thoughts against me? Does that frighten you? Does that mean there is a way?"
151,VINA,You're a fool.
152,PIKE,"Since you're not real, there's not much point in continuing this conversation, is there."
153,ONE,"All circuits engaged, Mister Spock."
154,SPOCK,"Standing by, Number One."
155,ONE,Take cover.
156,SPOCK,"Ten, nine, eight, seven, six, five, four, three, two, one."
157,ONE,Increase to full power! Can you give us any more?
158,SPOCK,Our circuits are beginning to heat. We'll have to cease power.
159,ONE,Disengage. The top of that knoll should have been sheared off the first second.
160,BOYCE,"Maybe it was. It's what I tried to explain in the briefing room. Their power of illusion is so great, we can't be sure of anything we do, anything we see."
161,PIKE,How far can they control my mind?
162,VINA,"If I tell you, then will you pick some dream you've had and let me live it with you?"
163,PIKE,Perhaps.
164,VINA,They can't actually make you do anything you don't want to do.
165,PIKE,But they try to trick me with their illusions.
166,VINA,"And, they can punish you when you're not co-operative. You'll find out about that."
167,PIKE,Did they ever live on the surface of this planet? Why did they go underground?
168,VINA,"War, thousands of centuries ago."
169,PIKE,That's why it's so barren up there?
170,PIKE,So the Talosians who came underground found life limited here and they concentrated on developing their mental power.
171,VINA,"But they found it's a trap. Like a narcotic. Because when dreams become more important than reality, you give up travel, building, creating. You even forget how to repair the machines left behind by your ancestors. You just sit, living and reliving other lives left behind in the thought record."
172,PIKE,Or sit probing minds of zoo specimens like me.
173,VINA,"You're better than a theatre to them. They create the illusion for you, they watch you react, feel your emotions. They have a whole collection of specimens, descendants of life brought back long ago from all over this part of the galaxy."
174,PIKE,Which means they had to have more than one of each animal.
175,VINA,Please.
176,PIKE,They'll need a pair of humans too. Where do they get intend to get the Earth woman?
177,VINA,You said that if I answered questions
178,PIKE,"But that was a bargain with something that didn't exist. You said you weren't real, remember?"
179,VINA,I'm a woman as real and as human as you are. We're like Adam and Eve. If we. Don't. Please don't punish me!
180,MAGISTRATE,The vial contains a nourishing protein complex.
181,PIKE,Is the keeper actually communicating with one of his animals?
182,MAGISTRATE,"If the form and the colour is not appealing, it can appear as any food you wish to visualise."
183,PIKE,And if I prefer
184,MAGISTRATE,To starve? You overlook the unpleasant alternative of punishment.
185,MAGISTRATE,From a fable you once heard in childhood. You will now consume the nourishment.
186,PIKE,"Why not just put irresistible hunger in my mind? Because you can't, can you? You do have limitations, don't you?"
187,MAGISTRATE,"If you continue to disobey, from deeper in your mind, there are things even more unpleasant."
188,PIKE,That's very interesting.
189,MAGISTRATE,Now to the female.
190,PIKE,You were startled. Weren't you reading my mind then?
191,MAGISTRATE,"As you've conjectured, an Earth vessel did crash on our planet, but with only a single survivor."
192,PIKE,"No, let's stay on the first subject. All I wanted for that moment was to get my hands around your neck."
193,MAGISTRATE,We repaired the survivor's injuries and found the species interesting.
194,PIKE,Do primitive thoughts put up a block you can't read through?
195,MAGISTRATE,It became necessary to attract a mate.
196,PIKE,"All right, all right, let's talk about the girl. You seem to be going out of your way to make her attractive, to make me feel protective."
197,MAGISTRATE,This is necessary in order to perpetuate the species.
198,PIKE,It seems more important to you now that I begin to accept her and like her.
199,MAGISTRATE,We wish our specimens to be happy in their new life.
200,PIKE,"Assuming that's a lie, why would you want me attracted to her? So I'll feel love in a husband-wife relationship? That would be necessary only if you intend to build a family group or perhaps a whole human community."
201,MAGISTRATE,With the female now properly conditioned.
202,PIKE,You mean properly punished! I'm the one who's not co-operating! Why don't you punish me?
203,MAGISTRATE,"First, an emotion of protectiveness. Now one of sympathy. Excellent."
204,VINA,"You want some coffee, dear? I left the thermos hooked to my saddle."
205,PIKE,"Tango! You old devil, you. I'm sorry I don't have any sugar. Well, they think of everything, don't they?"
206,VINA,"Hey, your coffee. Is it good to be home?"
207,PIKE,"They read our minds very well. Home, anything else I want, if I co-operate, is that it?"
208,VINA,"Have you forgotten my headaches, darling? I get them when you talk strangely like this."
209,PIKE,"Look, I'm sorry they punish you, but we can't let them"
210,VINA,"My, it turned out to be a lovely day, didn't it?"
211,PIKE,"It's funny. It's about twenty four hours ago I was telling the ship's doctor how much I wanted something else not very different from what we have here. An escape from reality. Life with no frustrations. No responsibilities. Now that I have it, I understand the doctor's answer."
212,VINA,I hope you're hungry. These little white sandwiches are your mother's recipe for chicken tuna.
213,PIKE,"You either live life, bruises, skinned knees and all, or you turn your back on it and start dying. The doctor's going to be happy about one part, at least. He said I needed a rest."
214,VINA,This is a lovely place to rest.
215,PIKE,"I used to ride through here when I was a kid. It's not as pretty as some of the parkland around the big cities, but. That's Mojave. That's where I was born."
216,VINA,Is that supposed to be news to your wife? You're home. You can even stay if you want. Wouldn't it be nice showing your children where you once played?
217,PIKE,"These headaches, they'll be hereditary you know. Would you wish them on a child or a whole group of children?"
218,VINA,Foolish.
219,PIKE,"Is it? Look, first they made me protect you and then feel sympathy for you. Now we have these familiar surroundings and a comfortable husband-wife relationship. They don't need all this for just passion. What they're after is respect and mutual dependence."
220,VINA,They say in the olden days all this was a desert. Blowing sand and cactus.
221,PIKE,"But we're not here, neither of us. We're in a menagerie, a cage!"
222,VINA,No.
223,VINA,Stop it. Don't you care what they'll do to us?
224,PIKE,"Back in my cage, it seemed for a couple of minutes that our keeper couldn't read my thoughts. Do emotions like hate, keeping hate in your mind, does that block off our mind from them?"
225,VINA,"Yes. They can't read through primitive emotions. But you can't keep it up for long enough. I've tried. They keep at you and at you year after year, tricking and punishing, and they won. They own me. I know you must hate me for that."
226,PIKE,"Oh, no. I don't hate you. I can guess what it was like."
227,VINA,"But that's not enough. Don't you see? They read my thoughts, my feelings, my dreams of what would be a perfect man. That's why they picked you. I can't help but love you and they expect you to feel the same way."
228,PIKE,"If they can read my mind, then they know I'm attracted to you."
229,TALOSIAN,A curious species. They have fantasies they hide even from themselves.
230,VINA,"I'm beginning to see why none of this has worked for you. You've been home, and fighting as on Rigel. That's not new to you, either. A person's strongest dreams are about what he can't do. Yes, a ship's captain, always having to be so formal, so decent and honest and proper. You must wonder what it would be like to forget all that."
231,OFFICER,"Nice place you have here, Mister Pike."
232,PIKE,Vina? ORION: Glistening green. Almost like secret dreams a bored ship captain might have.
233,OFFICER,"Funny how they are on this planet. They actually like being taken advantage of. Suppose you had all of space to choose from, and this was only one small sample."
234,ORION,Wouldn't you say it was worth a man's soul?
235,GARISON,Could that be an illusion too?
236,ONE,"Now, you all know the situation. We're hoping to transport down inside the Talosian community."
237,SPOCK,"If our measurements and readings are an illusion also, one could find oneself materialised inside solid rock."
238,ONE,Nothing will be said if any volunteer wants to back out.
239,SPOCK,The women!
240,VINA,No! Let me finish!
241,ONE,But we were a party of six.
242,COLT,We were the only ones transported.
243,VINA,It's not fair. You don't need them.
244,PIKE,They don't work.
245,ONE,They were fully charged when we left. It's dead.  I can't make a signal. What is it?
246,PIKE,"Don't say anything. I'm filling my mind with a picture of beating their huge, misshapen heads to pulp, thoughts so primitive they black out everything else. I'm filling my mind with hate."
247,VINA,"How long can you block your thoughts? A few minutes, an hour? How can that help?"
248,COLT,Leave him alone.
249,VINA,He doesn't need you. He's already picked me.
250,COLT,Picked her? For what? I don't understand.
251,VINA,"Now, there's a fine choice for intelligent offspring."
252,COLT,"Offspring, as in children?"
253,ONE,Offspring as in he's Adam. Is that it?
254,VINA,You're no better choice. They'd have more luck crossing him with a computer.
255,ONE,"Well, shall we do a little time computation? There was a Vina listed on that expedition as an adult crewman. Now, adding eighteen years to your age then."
256,VINA,It's not fair. I did what you asked.
257,MAGISTRATE,"Since you resist the present specimen, you now have a selection."
258,PIKE,I'll break out of this zoo somehow and get to you. Is your blood red like ours? I'm going to find out.
259,MAGISTRATE,"Each of the two new specimens has qualities in her favour. The female you call Number One has the superior mind and would produce highly intelligent children. Although she seems to lack emotion, this is largely a pretence. She has often has fantasies involving you."
260,PIKE,"All I want to do is get my hands on you. Can you read these thoughts? Images of hate, killing?"
261,MAGISTRATE,"The other new arrival has considered you unreachable but now is realising this has changed. The factors in her favour are youth and strength, plus unusually strong female drives."
262,PIKE,You'll find my thoughts more interesting. Thoughts so primitive you can't understand. Emotions so ugly
263,MAGISTRATE,Wrong thinking is punishable. Right thinking will be as quickly rewarded. You will find it an effective combination.
264,ONE,Captain.
265,PIKE,"No. No, don't help me. I have to concentrate. They can't read through hate."
266,GARISON,"Open, sir."
267,SPOCK,This is the acting captain speaking. We have no choice now but to consider the safety of this vessel and the remainder of the crew. We're leaving. All decks prepare for hyperdrive. Time warp factor.
268,TYLER,"Mister Spock, the ship's controls have gone dead."
269,SPOCK,Engine room!
270,GARISON,Open.
271,SPOCK,Mister Spock here. Switch to rockets. We're blasting out.
272,PITCAIRN,"All systems are out, bridge. We've got nothing."
273,TYLER,There's nothing. Every system aboard is fading out.
274,PIKE,"Now you hold still, or I'll break your neck."
275,VINA,Don't hurt them. They don't mean to be evil.
276,PIKE,I've had some samples of how good they are.
277,PIKE,"You stop this illusion, or I'll twist your head off.  All right, now you try one more illusion, you try anything at all, and I'll break your neck."
278,MAGISTRATE,Your ship. Release me or we'll destroy it.
279,SPOCK,Nothing. But for the batteries we'd lose gravitation and oxygen.
280,TYLER,The computers!
281,TYLER,"I can't shut it off. It's running through our library. Tapes, micro-records, everything. It doesn't make sense."
282,SPOCK,Could be we've waited too long. It's collecting all the information stored in this fly. They've decided to swat us.
283,PIKE,I'm going to gamble you're too intelligent to kill for no reason at all.
284,PIKE,"On the other hand, I've got a reason. I'm willing to bet you've created an illusion this laser is empty. I think it just blasted a hole in that window and you're keep us from seeing it. You want me to test my theory out on your head?"
285,COLT,Captain.
286,PIKE,"Make contact, Number One."
287,ONE,"They kept us from seeing this, too. We cut through and never knew it. Captain."
288,MAGISTRATE,"As you see, your attempt to escape accomplished nothing."
289,PIKE,I want to contact our ship.
290,MAGISTRATE,"You are now on the surface where we wished you to be. With the female of your choice, you will now begin carefully guided lives."
291,PIKE,And start by burying you?
292,MAGISTRATE,"That is your choice. To help you reclaim the planet's surface, our zoological gardens will furnish a variety of plant life."
293,PIKE,"Look, I'll make a deal with you. You and your life for the lives of these two Earth women."
294,MAGISTRATE,"Since our lifespan is many times yours, we have time to evolve you into a society trained to serve as artisans, technicians"
295,PIKE,"Do you understand what I'm saying? You give me proof that our ship is all right, send these two back, and I'll stay with Vina."
296,ONE,It's wrong to create a whole race of humans to live as slaves.
297,MAGISTRATE,Is this a deception? Do you intend to destroy yourselves?
298,VINA,What is that?
299,PIKE,"The weapon is building up an overload. A force chamber explosion. You still have time to get underground. Well, go on!  Just to show you how primitive humans are, Talosian, you go with her."
300,VINA,"If, if you all think it's this important, then I can't go either. I suppose if they have one human being, they might try again."
301,PIKE,Wait.
302,TALOSIAN,Their method of storing records is crude and consumed much time. Are you prepared to assimilate it?
303,MAGISTRATE,"We had not believed this possible. The customs and history of your race show a unique hatred of captivity. Even when it's pleasant and benevolent, you prefer death. This makes you too violent and dangerous a species for our needs."
304,VINA,He means that they can't use you. You're free to go back to the ship.
305,PIKE,"And that's it? No apologies? You captured one of us, threatened all of us."
306,TALOSIAN,Your unsuitability has condemned the Talosian race to eventual death. Is this not sufficient?
307,MAGISTRATE,No other specimen has shown your adaptability. You were our last hope.
308,PIKE,"But wouldn't some form of trade, mutual co-operation?"
309,MAGISTRATE,Your race would learn our power of illusion and destroy itself too.
310,ONE,"Captain, we have transporter control now."
311,PIKE,Let's get back to the ship.
312,VINA,I can't. I can't go with you.
313,SPOCK,Mister Spock here.
314,TYLER,"All power has come on, Mister Spock. The helm is answering to control."
315,GARISON,The captain?
316,VINA,You see why I can't go with you.
317,MAGISTRATE,This is the female's true appearance.
318,VINA,"They found me in the wreckage, dying. A lump of flesh. They rebuilt me. Everything works. But they had never seen a human. They had no guide for putting me back together."
319,MAGISTRATE,It was necessary to convince you her desire to stay is an honest one.
320,PIKE,You'll give her back her illusion of beauty?
321,MAGISTRATE,And more.
322,MAGISTRATE,She has an illusion and you have reality. May you find your way as pleasant.
323,COLT,What's happened to Vina?
324,ONE,Isn't she coming with us?
325,PIKE,"No. No, and I agreed with her reasons."
326,BOYCE,Hold on a minute.
327,PIKE,"Oh, I feel fine, just fine."
328,BOYCE,You look a hundred percent better.
329,PIKE,"You recommended a rest, a change of pace, didn't you? I've even been home. Does that make you happy?"
330,PIKE,Yeoman.
331,COLT,"Yes, sir."
332,PIKE,I thought I told you that when I'm on the bridge I
333,PIKE,Oh. Oh yes. The reports. Thank you.
334,COLT,"Sir, I was wondering. Just curious. Who would have been Eve?"
335,ONE,Yeoman! You've delivered your report.
336,COLT,"Yes, ma'am. Yes, sir."
337,TYLER,"Eve, sir? Yes, sir."
338,BOYCE,Eve as in Adam?
339,PIKE,"As in all ship's doctors are dirty old men. What are we running here, a cadet ship, Number One? Are we ready or not?"
340,ONE,"All decks show ready, sir."
341,PIKE,Engage.
342,KIRK,Professor Crater! Professor Crater!
343,MCCOY,Professor Crater!
344,KIRK,Professor Crater! Professor! Professor!
345,MCCOY,"Jim! Jim, it's Sturgeon. He's dead."
346,KIRK,"We'd better locate Crewman Green. Green! Green! Crewman Green, report! Green!"
347,MCCOY,"Crewman Green, report! Green! Green, where are you? Could it be Crater? He came this way."
348,KIRK,I don't know. Green!  Did you see this?
349,GREEN,"Yes, sir. Sturgeon was dead when I found him. I was circling to find whatever it was."
350,MCCOY,"Same red rings on his face. Have you seen Nancy, Mrs. Crater?"
351,GREEN,"No, sir. I checked all through the ruins."
352,MCCOY,"I'm worried about her, Jim. She's not at the quarters, she's not at the diggings. She could be in trouble. Nancy!"
353,KIRK,Crater!
354,MCCOY,"Nancy, it's Leonard!"
355,KIRK,"We're beaming aboard the ship, Doctor."
356,MCCOY,You can't leave her!
357,KIRK,We can't search this whole planet on foot.
358,MCCOY,Jim!
359,KIRK,"You could learn something from Mister Spock, Doctor. Stop thinking with your glands. We've equipment aboard the Enterprise that could pinpoint a match lit anywhere on this planet, or the heat of a body. Transporter room, Kirk speaking. Three to beam up."
360,KIRK,Kirk to Bridge.
361,SPOCK,Spock here.
362,KIRK,Break out the surface search equipment. I want co-ordinates on two people.
363,SPOCK,Acknowledged.
364,KIRK,There's a body down there. Sturgeon.
365,TRANSPORTER OPERATOR,"We'll bring him home, sir."
366,KIRK,"You could use some sleep, Bones."
367,MCCOY,"All right, Jim."
368,KIRK,Bridge.
369,RAND,"Oh, Green, what went on down there?  Who do you think you are?"
370,SPOCK,"Something odd, Captain. You said two people."
371,KIRK,Professor and Nancy Crater.
372,SPOCK,"We get a reading on only one person, probably Crater. He's circling as if searching for something."
373,KIRK,Expand search radius.
374,SPOCK,"Yes, sir."
375,RAND,Why don't you go chase an asteroid?
376,REDSHIRT,"Hey, Janice, is that for me?"
377,RAND,Don't you wish it was?
378,BLUESHIRT,How about that?
379,REDSHIRT,"Yeah, how'd you like to have her as your personal yeoman?"
380,RAND,"Where are you, Sulu?"
381,SULU,"In here feeding the weepers, Janice."
382,RAND,I've got your tray.
383,SULU,May the Great Bird of the Galaxy bless your planet.
384,RAND,"Thank you. Hello, Beauregard. How are you today, darling?"
385,SULU,Her name's Gertrude.
386,RAND,"No, it's a he plant. A girl can tell."
387,SULU,"Why do people have to call inanimate objects she, like she's a fast ship."
388,RAND,"He is not an inanimate object. He's so animate he makes me nervous. In fact, I keep expecting one of these plants of yours to grab me."
389,SULU,"Hello, Green."
390,RAND,He's not talking today. You been nipping saurian brandy or something?
391,SULU,Take it easy. Calm down. Very sensitive.
392,RAND,He's the real spook. Suppose he's going space happy or something?
393,CREWMAN,"In a way, ma'am. You were just thinking of someone like me. I'm guessing of course, but you do look a little lonely."
394,UHURA,"I see. So naturally, when I'm lonely I think of you."
395,CREWMAN,Ina cuvanea mwanamke turee.
396,UHURA,Una kafeeri Hur. You're Swahili?
397,KIRK,Lieutenant Uhura to the Bridge.  Lieutenant Uhura to the Bridge.
398,RAND,"I'd better get this tray back. Bye, Beauregard."
399,SULU,"Wait a minute, I'll walk along."
400,KIRK,"Lieutenant Uhura, report to the Bridge."
401,UHURA,"Lieutenant Uhura. On my way, sir."
402,MCCOY,McCoy to Bridge. Captain there?
403,KIRK,"Kirk here. Nothing to report, Doctor. We haven't located Mrs. Crater. What's the matter, can't you sleep?"
404,MCCOY,Nope.
405,KIRK,Try taking one of those red pills you gave me last week. You'll sleep.
406,SPOCK,"The simple fact is unless there's something seriously wrong with the ship's equipment, there's only one person within a one hundred mile circle."
407,KIRK,"All right. We'll triangulate on him. We'll let Professor Crater explain what happened to his wife.  Remember my instructions, Lieutenant. Keep a tight fix on us. If we let out a yell I want an armed party down there before the echo dies."
408,UHURA,"Yes, Captain."
409,MCCOY,"Nancy. Well, come in. come in. I've been worried sick about you. I wonder why Jim didn't tell me he found you."
410,NANCY,"I'm so happy to see you, Leonard. The others, they, I, I don't relate to them as much as you. You have such strong memories of me."
411,MCCOY,Well.
412,NANCY,"You do care, don't you, Leonard? It makes me feel so, so safe."
413,MCCOY,"Nancy, er"
414,NANCY,"My husband? I like your feelings better. Much stronger. But you're tired, You need to rest."
415,MCCOY,You're as bad as Jim Kirk. He's been telling me to take these.
416,NANCY,I think you should. I'll get you some water.
417,RAND,Look at his face!
418,SULU,"Bridge. Sulu. Trouble on deck nine, section two. We need a medical team."
419,MCCOY,"I was so worried. Your husband acting strange, crewmen dying."
420,NANCY,"You're so tired, darling. Just rest now."
421,UHURA,Medical department alert. Doctors and medics acknowledge.
422,NANCY,"It's nothing, dear. It's nothing. You just sleep. Nancy will take care of everything."
423,UHURA,Dr. McCoy to the Bridge. Dr. McCoy to the Bridge.  Dr. McCoy to the Bridge.
424,KIRK,Professor Crater.
425,CRATER,Go away! We don't want you here.
426,KIRK,"We? Where's your wife, Professor? We're concerned about her."
427,CRATER,I'm armed. Go away.
428,KIRK,"Where's your wife, Professor?"
429,CRATER,She's no concern of yours.
