Speaker,Dialogue
GEOLOGIST,Zero point nine of Earth.
TYLER,"Captain? Reflections, sir, from the planet's surface. As I read"
PIKE,Prep a landing party of six. You feel up to it?
SPOCK,"Yes, sir."
TYLER,"Yes, sir."
PIKE,"Sorry, Number One. With little information on this planet, we'll"
ONE,"Of course, sir."
PIKE,"There's no indication of problems down there,"
PITCAIRN,"Yes, sir. There's a canyon to the left. We can set you there"
GARISON,Sir.
OLD MAN,They're men. They're humans.
PIKE,"Captain Christopher Pike, United Space Ship Enterprise."
HASKINS,"Doctor Theodore Haskins, American Continent lnstitute."
SURVIVOR,Is Earth all right?
PIKE,"The same old Earth, and you'll see it very soon."
TYLER,And you won't believe how fast you can get back. Well the time
HASKINS,This is Vina. Her parents are dead. She was born almost as we
PIKE, Enterprise.
PIKE,We'll begin transporting the survivors and their effects up to
PIKE,That's affirmative on the
VINA,"You appear to be healthy and intelligent, Captain. A prime"
PIKE,"Er, affirmative on request. Landing party out."
HASKINS,"You must forgive her choice of words, Captain. She's lived her"
BOYCE,"If they can spare you a moment, I'd like to make my medical"
VINA,I think it's time to show the Captain our secret.
BOYCE,Their health is excellent. Almost too good.
HASKINS,"There's a reason for our condition, but we've had some doubt"
VINA,"You're tired, but don't worry. You'll feel much better soon."
PIKE,I don't understand.
VINA,You will. You're a perfect choice.
TYLER,Captain!
SPOCK,Spock here.
SPOCK,"There is no survivors' encampment, Number One. This is all some"
PIKE,"Can you hear me? My name is Christopher Pike, commander of the"
TALOSIAN,"It appears, Magistrate, that the intelligence of the specimen"
MAGISTRATE,This is no surprise since his vessel was baited here so
PIKE,"You're not speaking, yet I can hear you."
MAGISTRATE,You will note the confusion as it reads our thought
PIKE,"All right then, telepathy. You can read my mind. I can read"
unless you want my ship to consider capturing me anunfriendly actMAGISTRATE,You now see the primitive fear threat reaction. The
PIKE,"If you were in here, wouldn't you test the strength of these"
MAGISTRATE,"Despite its frustration, the creature appears more"
SPOCK,The inhabitants of this planet must live
ONE,"So we just thought we saw survivors there, Mister Spock."
SPOCK,Exactly. An illusion placed in our minds by this planet's
BOYCE,It was a perfect illusion. They had us seeing just what we
ONE,Any estimate what they might want one of us for?
SPOCK,"They may simply be studying the Captain, to find out how Earth"
TYLER,Then why aren't we doing anything? That entry may have stood up
SPOCK,Look. Brains three times the size of ours. If we start buzzing
TYLER,"It's Captain Pike they've got. He needs help, and he probably"
ONE,Engineering deck will rig to transmit ship's power.
TALOSIAN,"Thousands of us are already probing the creature's thoughts,"
MAGISTRATE,I read most strongly a recent death struggle in which it
VINA,"Come on, we must hide ourselves. Come, come."
PIKE,This is Rigel Seven.
VINA,"Please, we must hide ourselves."
PIKE,"I was in a cage, a cell, in some kind of a zoo. I must still be"
VINA,Come on.
PIKE,They've reached into my mind and taken the memory of somewhere
VINA,The killer!
PIKE,It's starting just as it happened two weeks ago. Except for you.
PIKE,"Longer hair, different dress, but it is you, the one the"
VINA,Quick. If you attack while it's not looking.
PIKE,But it's only a dream.
VINA,You have to kill him as you did here before.
PIKE,You can tell my jailers I won't go along with it. I'm not an
VINA,"It doesn't matter what you call this, you'll feel it. That's what"
PIKE,Why would an illusion be frightened?
VINA,Because that's the way you imagined me.
PIKE,Who are you? You act as if this were really you.
VINA,Careful.
VINA,It's over.
PIKE,Why are you here?
VINA,To please you.
PIKE,Are you real?
VINA,As real as you wish.
PIKE,"No, no. No, that's not an answer. I've never met you before,"
VINA,Perhaps they made me out of dreams you've forgotten.
PIKE,"What, and dress you in the same metal fabric they wear?"
VINA,"I have to wear something, don't I? I can wear whatever you wish,"
PIKE,So they can see how their specimen performs? They want to see how
VINA,"Don't you have a dream, something you've always wanted very badly?"
PIKE,"Or do they do more than just watch me? Do they feel with me, too?"
VINA,"You can have whatever dream you want. I can become anything, any"
PIKE,"Yes. Yes, you can please me. You can tell me about them. Is there"
VINA,You're a fool.
PIKE,"Since you're not real, there's not much point in continuing this"
ONE,"All circuits engaged, Mister Spock."
ONE,Take cover.
ONE,Increase to full power! Can you give us any more?
ONE,Disengage. The top of that knoll should have been sheared off the
BOYCE,Maybe it was. It's what I tried to explain in the briefing room.
VINA,"Perhaps if you asked me some questions, I"
PIKE,How far can they control my mind?
VINA,"If I tell you, then will you pick some dream you've had and let"
PIKE,Perhaps.
VINA,They can't actually make you do anything you don't want to do.
PIKE,But they try to trick me with their illusions.
VINA,"And, they can punish you when you're not co-operative. You'll"
PIKE,Did they ever live on the surface of this planet? Why did they go
VINA,"War, thousands of centuries ago."
PIKE,That's why it's so barren up there?
PIKE,So the Talosians who came underground found life limited here and
VINA,But they found it's a trap. Like a narcotic. Because when dreams
PIKE,Or sit probing minds of zoo specimens like me.
VINA,You're better than a theatre to them. They create the illusion
PIKE,Which means they had to have more than one of each animal.
VINA,Please.
PIKE,They'll need a pair of humans too. Where do they get intend to
VINA,You said that if I answered questions
PIKE,But that was a bargain with something that didn't exist. You said
VINA,I'm a woman as real and as human as you are. We're like Adam and
MAGISTRATE,The vial contains a nourishing protein complex.
PIKE,Is the keeper actually communicating with one of his animals?
MAGISTRATE,"If the form and the colour is not appealing, it can appear"
PIKE,And if I prefer
MAGISTRATE,To starve? You overlook the unpleasant alternative of
MAGISTRATE,From a fable you once heard in childhood. You will now
PIKE,Why not just put irresistible hunger in my mind? Because you
MAGISTRATE,"If you continue to disobey, from deeper in your mind, there"
PIKE,That's very interesting.
MAGISTRATE,Now to the female.
PIKE,You were startled. Weren't you reading my mind then?
MAGISTRATE,"As you've conjectured, an Earth vessel did crash on our"
PIKE,"No, let's stay on the first subject. All I wanted for that moment"
MAGISTRATE,We repaired the survivor's injuries and found the species
PIKE,Do primitive thoughts put up a block you can't read through?
MAGISTRATE,It became necessary to attract a mate.
PIKE,"All right, all right, let's talk about the girl. You seem to be"
MAGISTRATE,This is necessary in order to perpetuate the species.
PIKE,It seems more important to you now that I begin to accept her and
MAGISTRATE,We wish our specimens to be happy in their new life.
PIKE,"Assuming that's a lie, why would you want me attracted to her? So"
MAGISTRATE,With the female now properly conditioned.
PIKE,You mean properly punished! I'm the one who's not co-operating!
MAGISTRATE,"First, an emotion of protectiveness. Now one of sympathy."
VINA,"You want some coffee, dear? I left the thermos hooked to my"
PIKE,"Tango! You old devil, you. I'm sorry I don't have any sugar."
VINA,"Hey, your coffee. Is it good to be home?"
PIKE,"They read our minds very well. Home, anything else I want, if I"
VINA,"Have you forgotten my headaches, darling? I get them when you"
PIKE,"Look, I'm sorry they punish you, but we can't let them"
VINA,"My, it turned out to be a lovely day, didn't it?"
PIKE,It's funny. It's about twenty four hours ago I was telling the
VINA,I hope you're hungry. These little white sandwiches are your
PIKE,"You either live life, bruises, skinned knees and all, or you turn"
VINA,This is a lovely place to rest.
PIKE,I used to ride through here when I was a kid. It's not as pretty
VINA,Is that supposed to be news to your wife? You're home. You can
PIKE,"These headaches, they'll be hereditary you know. Would you wish"
VINA,Foolish.
PIKE,"Is it? Look, first they made me protect you and then feel"
VINA,They say in the olden days all this was a desert. Blowing sand
PIKE,"But we're not here, neither of us. We're in a menagerie, a cage!"
VINA,No.
VINA,Stop it. Don't you care what they'll do to us?
PIKE,"Back in my cage, it seemed for a couple of minutes that our"
VINA,Yes. They can't read through primitive emotions. But you can't
PIKE,"Oh, no. I don't hate you. I can guess what it was like."
VINA,"But that's not enough. Don't you see? They read my thoughts, my"
PIKE,"If they can read my mind, then they know I'm attracted to you."
TALOSIAN,A curious species. They have fantasies they hide even from
OFFICER,"Nice place you have here, Mister Pike."
PIKE,Vina?
ORION,Glistening green. Almost like secret dreams a bored ship captain
OFFICER,Funny how they are on this planet. They actually like being
ORION,Wouldn't you say it was worth a man's soul?
SPOCK,We've located a magnetic field that seems to
GARISON,Could that be an illusion too?
ONE,"Now, you all know the situation. We're hoping to transport down"
SPOCK,"If our measurements and readings are an illusion also, one could"
ONE,Nothing will be said if any volunteer wants to back out.
SPOCK,The women!
ONE,Captain! Captain.
VINA,No! Let me finish!
ONE,But we were a party of six.
COLT,We were the only ones transported.
VINA,It's not fair. You don't need them.
PIKE, They don't work.
ONE,They were fully charged when we left. It's dead.  I
PIKE,Don't say anything. I'm filling my mind with a picture of beating
VINA,"How long can you block your thoughts? A few minutes, an hour? How"
COLT,Leave him alone.
VINA,He doesn't need you. He's already picked me.
COLT,Picked her? For what? I don't understand.
VINA,"Now, there's a fine choice for intelligent offspring."
COLT,"Offspring, as in children?"
ONE,Offspring as in he's Adam. Is that it?
VINA,You're no better choice. They'd have more luck crossing him with
ONE,"Well, shall we do a little time computation? There was a Vina"
VINA,It's not fair. I did what you asked.
MAGISTRATE,"Since you resist the present specimen, you now have a"
PIKE,I'll break out of this zoo somehow and get to you. Is your blood
MAGISTRATE,Each of the two new specimens has qualities in her favour.
PIKE,All I want to do is get my hands on you. Can you read these
MAGISTRATE,The other new arrival has considered you unreachable but
PIKE,You'll find my thoughts more interesting. Thoughts so primitive
MAGISTRATE,Wrong thinking is punishable. Right thinking will be as
ONE,Captain.
PIKE,"No. No, don't help me. I have to concentrate. They can't read"
SPOCK,Address intercraft.
GARISON,"Open, sir."
SPOCK,This is the acting captain speaking. We have no choice now but
TYLER,"Mister Spock, the ship's controls have gone dead."
SPOCK,Engine room!
GARISON,Open.
SPOCK,Mister Spock here. Switch to rockets. We're blasting out.
TYLER,There's nothing. Every system aboard is fading out.
PIKE,"Now you hold still, or I'll break your neck."
VINA,Don't hurt them. They don't mean to be evil.
PIKE,I've had some samples of how good they are.
PIKE,"You stop this illusion, or I'll twist your head off. "
MAGISTRATE,Your ship. Release me or we'll destroy it.
SPOCK,Nothing. But for the batteries we'd lose gravitation and oxygen.
TYLER,The computers!
TYLER,"I can't shut it off. It's running through our library. Tapes,"
SPOCK,Could be we've waited too long. It's collecting all the
VINA,"He's not bluffing, Captain. With illusion"
PIKE,I'm going to gamble you're too intelligent to kill for no reason
PIKE,"On the other hand, I've got a reason. I'm willing to bet you've"
COLT,Captain.
PIKE,"Make contact, Number One."
ONE,"They kept us from seeing this, too. We cut through and never knew"
MAGISTRATE,"As you see, your attempt to escape accomplished nothing."
PIKE,I want to contact our ship.
MAGISTRATE,You are now on the surface where we wished you to be. With
PIKE,And start by burying you?
MAGISTRATE,That is your choice. To help you reclaim the planet's
PIKE,"Look, I'll make a deal with you. You and your life for the lives"
MAGISTRATE,"Since our lifespan is many times yours, we have time to"
technicians PIKE,Do you understand what I'm saying? You give me proof that our
ONE,It's wrong to create a whole race of humans to live as slaves.
MAGISTRATE,Is this a deception? Do you intend to destroy yourselves?
VINA,What is that?
PIKE,The weapon is building up an overload. A force chamber explosion.
VINA,"If, if you all think it's this important, then I can't go either."
PIKE,Wait.
TALOSIAN,Their method of storing records is crude and consumed much
MAGISTRATE,We had not believed this possible. The customs and history
VINA,He means that they can't use you. You're free to go back to the
PIKE,"And that's it? No apologies? You captured one of us, threatened"
TALOSIAN,Your unsuitability has condemned the Talosian race to
MAGISTRATE,No other specimen has shown your adaptability. You were our
PIKE,"But wouldn't some form of trade, mutual co-operation?"
MAGISTRATE,Your race would learn our power of illusion and destroy
ONE,"Captain, we have transporter control now."
PIKE,Let's get back to the ship.
VINA,I can't. I can't go with you.
PITCAIRN,"Sir, it just came on. We can't shut the"
SPOCK,Mister Spock here.
GARISON,The captain?
VINA,You see why I can't go with you.
MAGISTRATE,This is the female's true appearance.
VINA,"They found me in the wreckage, dying. A lump of flesh. They"
MAGISTRATE,It was necessary to convince you her desire to stay is an
PIKE,You'll give her back her illusion of beauty?
MAGISTRATE,And more.
MAGISTRATE,She has an illusion and you have reality. May you find your
PITCAIRN,"Mister Spock, the system is coming on"
COLT,What's happened to Vina?
ONE,Isn't she coming with us?
PIKE,"No. No, and I agreed with her reasons."
BOYCE,Hold on a minute.
PIKE,"Oh, I feel fine, just fine."
BOYCE,You look a hundred percent better.
PIKE,"You recommended a rest, a change of pace, didn't you? I've even"
PIKE,Yeoman.
COLT,"Yes, sir."
PIKE,I thought I told you that when I'm on the bridge I
PIKE,Oh. Oh yes. The reports. Thank you.
COLT,"Sir, I was wondering. Just curious. Who would have been Eve?"
ONE,Yeoman! You've delivered your report.
COLT,"Yes, ma'am. Yes, sir."
TYLER,"Eve, sir? Yes, sir."
BOYCE,Eve as in Adam?
PIKE,As in all ship's doctors are dirty old men. What are we running
ONE,"All decks show ready, sir."
PIKE,Engage.
Original Airdate,"8 Sep, 1966"
KIRK,"Shall we pick some flowers, Doctor? When a man visits an old"
MCCOY,"Is that how you get girls to like you, by bribing them? There"
KIRK,They'll be along. You rushed us down ten minutes early. (enter
KIRK,"Professor Crater? Professor? Mrs. Crater? Nervous, Dr. McCoy?"
MCCOY,"Yeah, a little bit, I guess. You see, we walked out of each"
NANCY, Leonard!
MCCOY,Nancy.
NANCY,Hello.
MCCOY,It's good to see you.
NANCY,Let me look at you.
MCCOY,"You haven't aged a day. Oh, this is Captain Jim Kirk of the"
KIRK, Mrs. Crater. I've heard a
NANCY,"All good, I hope."
MCCOY,And Crewman Darnell.
DARNELL," How do you do, ma'am?"
KIRK,"Something wrong, Darnell?"
DARNELL,"Excuse me sir but, ma'am, if I didn't know better I would"
re exactly like a girl that MCCOY,"A little less mouth, Darnell."
DARNELL,"I'm sorry. I didn't mean to. I mean, I know it's impossible,"
KIRK,"Why don't you step outside, Darnell."
DARNELL,"Yes, sir. Thank you, sir."
KIRK,"Maybe I'll step outside, too."
NANCY,What? And let Plum examine me all alone?
KIRK,Plum?
MCCOY,Plum.
NANCY,A nickname I gave Leonard when we were very young.
MCCOY,"I'll, er, I'll wait for the professor and I'll catch you both at"
NANCY,I'd better go get Bob. Every time he starts digging he forgets
BLONDE NANCY,"It's quite warm here, isn't it? (encourages Darnell to"
KIRK,"Professor Crater, I'm Captain Kirk. This is"
CRATER,The heroic Captain and the intrepid doctor cross interstellar
MCCOY,I'm pleased you're doing well but I'm required to confirm that
CRATER,Doubtless the good surgeon will enjoy prodding and poking us
MCCOY,What you want is unimportant right now. What you will get is
KIRK,Quote. All research personnel on alien planets are required to
mrequired CRATER,"To show your gold braid to everyone. You love it, don't you."
KIRK,"He's all yours, Plum. Doctor McCoy."
MCCOY,"Sit down and breathe deeply, please."
CRATER,Did I hear you call him Doctor McCoy?
MCCOY,You did.
CRATER,McCoy. I've heard Nancy speak of a Doctor McCoy.
MCCOY,That's me. Didn't she mention I was here?
CRATER,You've seen Nancy?
KIRK,She went out to get you.
CRATER,You've seen her too? You were with the good Doctor?
KIRK,Yes. Why?
CRATER,Nothing. It's just that it gives me pleasure to know that she's
MCCOY,"Well, it certainly hasn't aged her. She looks exactly as I knew"
CRATER,"Sorry. I'm sorry, Captain, sit down. I seem to have forgotten"
KIRK,Quite all right.
MCCOY,"I'm not joking, Jim. She hasn't aged a day. She doesn't have a"
KIRK,"She's got some grey, Bones. Excuse me, Professor, she's a"
CRATER,"You've seen my wife with the eyes of your past attachment,"
MCCOY,Well at any rate she doesn't look a day over thirty.
CRATER,"Genuine affection. I'm glad you still feel it for her. Leonard,"
MCCOY,Open your mouth.
CRATER,"Why, I thought the machine"
MCCOY,The machine is capable of almost anything but I'll still put my
KIRK, McCoy.
MCCOY,"Dead, Jim. Strange. A red mottling all over his face."
KIRK,What happened?
CRATER,"What do you suppose happened, Captain? You beam down a crewman"
KIRK,"I've just lost a crewman, Mrs. Crater. I want to know what"
NANCY,"Well, I, I"
MCCOY,"Take it easy, Nancy. Just tell us what you know."
NANCY,"I was just. I couldn't find Bob, and I was coming back. I"
MCCOY,"No, no, no, no, it's not that. It's something entirely"
CRATER,"We don't need an examination, you can see that. Perhaps you'd"
better take your man and KIRK,"We're well aware of our next duties, Professor. We'll complete"
KIRK,Lock onto us. Three beaming up.
NANCY,Salt. You did ask them about more salt tablets?
CRATER,"I'll take care of the provisioning, Nancy."
SPOCK,"Miss Uhura, your last sub-space log contained an error in the"
UHURA,"Mister Spock, sometimes I think if I hear that word frequency"
SPOCK,Cry?
UHURA,I was just trying to start a conversation.
SPOCK,"Well, since it is illogical for a communications officer to"
UHURA,"No, you have an answer. I'm an illogical woman who's beginning"
SPOCK,"Vulcan has no moon, Miss Uhura."
UHURA,"I'm not surprised, Mister Spock."
SPOCK,Bridge acknowledging.
UHURA,I don't believe it.
SPOCK,Explain.
UHURA,You explain. That means that somebody is dead and you just sit
SPOCK,"Lieutenant, my demonstration of concern will not change what"
MCCOY,She called it a Borgia plant.
KIRK,Something new to me.
KIRK,"Go ahead, Mister Spock."
MCCOY,"Hmm. Well then, this man wasn't poisoned."
KIRK,"Stand by, Mister Spock. She said she saw him eat the plant."
MCCOY,"She's mistaken. I know alkaloid poison, what to look for."
KIRK,There were bits of the plant in his mouth.
MCCOY,"Jim, don't tell me my business. He could not have swallowed any."
KIRK,Then what kills a healthy man
MCCOY,I'll tell you something else. This man shouldn't be dead. I
KIRK,"How your lost love affects your vision, Doctor, doesn't interest"
MCCOY,"Yes, sir."
UHURA,"Message, Captain. Starship base on Caran 4 requesting"
UHURA,"Got it, Captain."
KIRK,Well?
SPOCK,No mistake in our record tapes. Borgia plant. Its sole deadly
KIRK,And Professor Crater and wife?
SPOCK,Check out perfectly. They arrived here nearly five years ago.
KIRK,Kirk here.
KIRK,What is it?
MCCOY,I'd rather not put it on the speaker.
SPOCK,Fascinating.
MCCOY,So improbable we almost didn't check it.
KIRK,What?
SPOCK,Sodium chloride. Not a trace of it.
MCCOY,This man has no salt in his body at all.
KIRK,"Can you explain that, Doctor?"
MCCOY,"I can't, except that what we normally carry in our bodies is"
SPOCK,He would die almost instantly.
KIRK,How? There isn't a mark on his body.
MCCOY,Except the red rings on his face.
KIRK,You called that skin mottling.
MCCOY,"I thought it was, sir. Another error on my part."
KIRK,"I'm not counting them, Bones. Are you in the mood for an apology?"
MCCOY,"Oh, forget it. I probably was mooning over her. I should have"
KIRK,Perhaps you were. Both Nancy and Crater went out of their way to
MCCOY,Salt tablets.
KIRK,"Mister Spock, outfit a landing party. We're beaming down with"
CRATER,One might think that you had more important duties than
KIRK,"I have, Professor. Believe me, I have. Where is Mrs. Crater? I"
CRATER,"Captain, you can't just beam down here and bully us, and"
KIRK,Mrs. Crater. I won't ask again.
CRATER,Possibly at the other diggings. We don't keep military logs
KIRK,"Green, find her."
GREEN,"Yes, sir. "
KIRK,Mister Spock.
KIRK,"Sturgeon, transport a sample of the plant to Mister Spock. We'll"
CRATER,"Captain, considering the inescapable fact that you are a"
trespasser on my planet KIRK,"Your complaint is noted, sir. Look, something we don't understand"
CRATER,We've been here for almost five years. If there were anything
KIRK,"Bones, tell the professor what the autopsy revealed."
MCCOY,"Our crewman died of salt depletion. Sudden, total loss of it."
KIRK,"And by coincidence, both you and Mrs. Crater requested salt"
CRATER,And your esteemed physician cannot explain our need for salt
KIRK,We're all aware of the need for salt on a hot and arid planet
CRATER, Nancy and I started with twenty five
MCCOY, Salt.
KIRK,One of the missions of the Enterprise is to protect human life in
CRATER,But you can't do that.
KIRK,"But I can, Professor."
KIRK,Arrange quarters for Professor and Mrs. Crater. Did you get the
MCCOY,"Jim, he's run off."
CRATER,"Nancy! You! Salt! I've got salt! Smell it! Smell it, Nancy!"
KIRK,Professor Crater! Professor! Professor!
MCCOY,"Jim! Jim, it's Sturgeon. He's dead."
KIRK,"We'd better locate Crewman Green. Green! Green! Crewman Green,"
MCCOY,"Crewman Green, report! Green! Green, where are you? Could it be"
KIRK,I don't know. Green!  Did you see this?
GREEN,"Yes, sir. Sturgeon was dead when I found him. I was circling to"
MCCOY,"Same red rings on his face. Have you seen Nancy, Mrs. Crater?"
GREEN,"No, sir. I checked all through the ruins."
MCCOY,"I'm worried about her, Jim. She's not at the quarters, she's not"
KIRK,Crater!
MCCOY,"Nancy, it's Leonard!"
KIRK,"We're beaming aboard the ship, Doctor."
MCCOY,You can't leave her!
KIRK,We can't search this whole planet on foot.
MCCOY,Jim!
KIRK,"You could learn something from Mister Spock, Doctor. Stop"
KIRK,Kirk to Bridge.
KIRK,Break out the surface search equipment. I want co-ordinates on
KIRK,There's a body down there. Sturgeon.
TRANSPORTER OPERATOR,"We'll bring him home, sir."
KIRK,"You could use some sleep, Bones."
MCCOY,"All right, Jim."
KIRK,Bridge.
RAND,"Oh, Green, what went on down there? (he reaches for the salt"
SPOCK,"Something odd, Captain. You said two people."
KIRK,Professor and Nancy Crater.
SPOCK,"We get a reading on only one person, probably Crater. He's"
KIRK,Expand search radius.
SPOCK,"Yes, sir."
RAND,Why don't you go chase an asteroid?
REDSHIRT,"Hey, Janice, is that for me?"
RAND,Don't you wish it was?
BLUESHIRT,How about that?
REDSHIRT,"Yeah, how'd you like to have her as your personal yeoman?"
RAND,"Where are you, Sulu?"
SULU,"In here feeding the weepers, Janice."
RAND,I've got your tray.
SULU,May the Great Bird of the Galaxy bless your planet.
RAND,"Thank you. Hello, Beauregard. How are you today, darling?"
SULU,Her name's Gertrude.
RAND,"No, it's a he plant. A girl can tell."
SULU,"Why do people have to call inanimate objects she, like she's a"
RAND,He is not an inanimate object. He's so animate he makes me
SULU,"Hello, Green."
RAND,He's not talking today. You been nipping saurian brandy or
SULU, Take it easy. Calm down. Very sensitive.
RAND,He's the real spook. Suppose he's going space happy or something?
CREWMAN,"In a way, ma'am. You were just thinking of someone like me."
UHURA,"I see. So naturally, when I'm lonely I think of you."
CREWMAN,Ina cuvanea mwanamke turee.
UHURA,Una kafeeri Hur. You're Swahili?
RAND,"I'd better get this tray back. Bye, Beauregard."
SULU,"Wait a minute, I'll walk along."
UHURA,"Lieutenant Uhura. On my way, sir."
MCCOY,McCoy to Bridge. Captain there?
MCCOY,Nope.
SPOCK,The simple fact is unless there's something seriously wrong with
KIRK,All right. We'll triangulate on him. We'll let Professor Crater
UHURA,"Yes, Captain."
MCCOY,"Nancy. Well, come in. come in. I've been worried sick about you."
NANCY,"I'm so happy to see you, Leonard. The others, they, I, I don't"
MCCOY,Well.
NANCY,"You do care, don't you, Leonard? It makes me feel so, so safe."
MCCOY,"Nancy, er"
NANCY,My husband? I like your feelings better. Much stronger. But
MCCOY,You're as bad as Jim Kirk. He's been telling me to take these.
NANCY,I think you should. I'll get you some water.
RAND,Look at his face!
SULU,"Bridge. Sulu. Trouble on deck nine, section two. We need a"
MCCOY," I was so worried. Your husband acting strange,"
NANCY,"You're so tired, darling. Just rest now."
NANCY,"It's nothing, dear. It's nothing. You just sleep. Nancy will"
KIRK,Professor Crater.
CRATER,Go away! We don't want you here.
KIRK,"We? Where's your wife, Professor? We're concerned about her."
CRATER,I'm armed. Go away.
KIRK,"Where's your wife, Professor?"
CRATER,She's no concern of yours.
KIRK,"We're worried about her safety. Aren't you? Professor, you're a"
SPOCK,"Spock cutting in, Captain. Something here, through the arches to"
KIRK,"Stand by, Mister Sulu. Spock has something."
SPOCK,Green.
KIRK,He beamed up to the ship with us.
SPOCK,Or something did.
KIRK,Enterprise from Kirk.
KIRK,You have an intruder aboard. Could be masquerading as Crewman
SPOCK,Crater knows the creature. If we could take him alive.
KIRK,"Negative, Lieutenant, but keep locked in on us. Kirk out. Let's"
CRATER,We don't want you here! We're happy alone! I'll kill to stay
SPOCK,"Obviously, taking him alive is going to be difficult."
KIRK,Set your phaser on one quarter. I'll leave mine on stun.
SPOCK,Why risk your life for his?
KIRK,"He's not trying to kill us, he's trying to frighten us, and he's"
SULU,"GQ three now secured except for decks five, seven, and ten. Come"
UHURA,He's not in supply and maintenance.
SULU,Go to Engineering now. Run through file photos of the crewmen
UHURA,Check.
No one has seen him SULU,"Keep in mind if you find him, he's not Crewman Green. The Captain"
RAND,"And he, or rather it, followed me. I thought there was something"
SULU,"He, whatever, was probably your crewman, too, Lieutenant."
UHURA,"He must have been it. You know, I would have remembered a"
MCCOY,"The creature leading you a merry chase, Mister Sulu?"
SULU,The creature?
MCCOY,Or whatever it is that's killing the crewmen. Perhaps I can
KIRK,Set.
SPOCK,Acknowledged. Crater! 
KIRK,"Your wife, Professor. Where is she? Your wife, Professor. Where"
CRATER,She was the last of her kind.
KIRK,The last of her kind?
CRATER,"The last of its kind. Earth history, remember? Like the"
KIRK,Just stunned. You'll be able to think in a minute.
SPOCK,The Earth buffalo. What about it?
CRATER,Once there were millions of them prairies black with them. One
SPOCK,And now they're gone. Is that what you mean?
CRATER,Like the creatures here. Once there were millions of them. Now
SPOCK,Always in the past tense.
KIRK,Where's your wife? Where is she now?
CRATER,Dead. Buried up on the hill. It killed her.
KIRK,When?
CRATER,"Oh, a year, or was it two?"
KIRK,Kirk to Enterprise.
KIRK,"It's definite, Mister Sulu. The intruder can assume any shape."
KIRK,Go to GQ four.
CRATER,"The creature was trying to survive. It has that right, doesn't"
KIRK,Kirk to transporter room. Three to beam up.
CRATER,They needed salt to stay alive. There was no more salt. It's
KIRK,"There's one, Professor. Your creature is killing my people."
SECURITY,Security 3 A here. 3 B in sight.
